rank,run_id,track,rank_status,budget_tier,candidate_count,selected_model_policy,mean_score,eligible_targets,ok_targets,missing_targets,failed_targets,partial_candidate_targets,metric_unavailable_targets,artifact_path
,server_v2_attack_scoreable_input_repair_size_balanced_shard04_msa_reuse_protenix5_seed101_105,protein_domain,unranked:run_not_rank_eligible,server_attack,5,protenix_confidence_v1,0.000000,71,0,66,5,5,0,
,server_v2_attack_scoreable_input_repair_size_balanced_shard05_msa_reuse_protenix25_seed121_125,protein_domain,unranked:run_not_rank_eligible,server_attack,5,protenix_confidence_v1,0.000000,71,0,71,0,0,0,
,server_v2_attack_scoreable_input_repair_size_balanced_shard05_msa_reuse_protenix5_seed101_105,protein_domain,unranked:run_not_rank_eligible,server_attack,5,protenix_confidence_v1,0.000000,71,0,70,1,1,0,
,server_v2_attack_scoreable_input_repair_size_balanced_shard06_msa_reuse_protenix25_seed106_110,protein_domain,unranked:run_not_rank_eligible,server_attack,5,protenix_confidence_v1,0.000000,71,0,71,0,0,0,
,server_v2_attack_scoreable_input_repair_size_balanced_shard06_msa_reuse_protenix25_seed111_115,protein_domain,unranked:run_not_rank_eligible,server_attack,5,protenix_confidence_v1,0.000000,71,0,71,0,0,0,
,server_v2_attack_scoreable_input_repair_size_balanced_shard06_msa_reuse_protenix25_seed116_120,protein_domain,unranked:run_not_rank_eligible,server_attack,5,protenix_confidence_v1,0.000000,71,0,71,0,0,0,
,server_v2_attack_scoreable_input_repair_size_balanced_shard06_msa_reuse_protenix25_seed121_125,protein_domain,unranked:run_not_rank_eligible,server_attack,5,protenix_confidence_v1,0.000000,71,0,71,0,0,0,
,server_v2_attack_scoreable_input_repair_size_balanced_shard06_msa_reuse_protenix5_seed101_105,protein_domain,unranked:run_not_rank_eligible,server_attack,5,protenix_confidence_v1,0.000000,71,0,68,3,3,0,
,server_v2_attack_scoreable_oligo_first_msa_reuse_protenix5_seed101_105,protein_domain,pending:no_scored_targets,server_attack,5,protenix_confidence_v1,0.000000,71,0,71,0,0,0,
,server_v2_attack_scoreable_oligo_first_phase_alias_msa_reuse_protenix5_seed101_105,protein_domain,pending:no_scored_targets,server_attack,5,protenix_confidence_v1,0.000000,71,0,71,0,0,0,
,server_v2_attack_scoreable_oligo_recovery_msa_reuse_protenix5_seed101_105,protein_domain,pending:no_scored_targets,server_attack,5,protenix_confidence_v1,0.000000,71,0,47,24,24,0,
,server_v2_attack_scoreable_oligo_size_first_phase_alias_msa_reuse_protenix5_seed101_105,protein_domain,pending:no_scored_targets,server_attack,5,protenix_confidence_v1,0.000000,71,0,71,0,0,0,
,server_v2_attack_scoreable_size_balanced_shard01_msa_reuse_protenix25_seed106_110,protein_domain,unranked:run_not_rank_eligible,server_attack,5,protenix_confidence_v1,0.000000,71,0,71,0,0,0,
,server_v2_attack_scoreable_size_balanced_shard01_msa_reuse_protenix25_seed111_115,protein_domain,unranked:run_not_rank_eligible,server_attack,5,protenix_confidence_v1,0.000000,71,0,71,0,0,0,
,server_v2_attack_scoreable_size_balanced_shard01_msa_reuse_protenix25_seed116_120,protein_domain,unranked:run_not_rank_eligible,server_attack,5,protenix_confidence_v1,0.000000,71,0,71,0,0,0,
,server_v2_attack_scoreable_size_balanced_shard01_msa_reuse_protenix25_seed121_125,protein_domain,unranked:run_not_rank_eligible,server_attack,5,protenix_confidence_v1,0.000000,71,0,71,0,0,0,
,server_v2_attack_scoreable_size_balanced_shard02_msa_reuse_protenix25_seed106_110,protein_domain,unranked:run_not_rank_eligible,server_attack,5,protenix_confidence_v1,0.000000,71,0,71,0,0,0,
,server_v2_attack_scoreable_size_balanced_shard02_msa_reuse_protenix25_seed111_115,protein_domain,unranked:run_not_rank_eligible,server_attack,5,protenix_confidence_v1,0.000000,71,0,71,0,0,0,
,server_v2_attack_scoreable_size_balanced_shard02_msa_reuse_protenix25_seed116_120,protein_domain,unranked:run_not_rank_eligible,server_attack,5,protenix_confidence_v1,0.000000,71,0,71,0,0,0,
,server_v2_attack_scoreable_size_balanced_shard02_msa_reuse_protenix25_seed121_125,protein_domain,unranked:run_not_rank_eligible,server_attack,5,protenix_confidence_v1,0.000000,71,0,71,0,0,0,
,server_v2_attack_scoreable_size_balanced_shard03_msa_reuse_protenix25_seed106_110,protein_domain,unranked:run_not_rank_eligible,server_attack,5,protenix_confidence_v1,0.000000,71,0,71,0,0,0,
,server_v2_attack_scoreable_size_balanced_shard03_msa_reuse_protenix25_seed111_115,protein_domain,unranked:run_not_rank_eligible,server_attack,5,protenix_confidence_v1,0.000000,71,0,71,0,0,0,
,server_v2_attack_scoreable_size_balanced_shard03_msa_reuse_protenix25_seed116_120,protein_domain,unranked:run_not_rank_eligible,server_attack,5,protenix_confidence_v1,0.000000,71,0,71,0,0,0,
,server_v2_attack_scoreable_size_balanced_shard03_msa_reuse_protenix25_seed121_125,protein_domain,unranked:run_not_rank_eligible,server_attack,5,protenix_confidence_v1,0.000000,71,0,71,0,0,0,
,server_v2_attack_scoreable_size_balanced_shard04_msa_reuse_protenix25_seed106_110,protein_domain,unranked:run_not_rank_eligible,server_attack,5,protenix_confidence_v1,0.000000,71,0,71,0,0,0,
,server_v2_attack_scoreable_size_balanced_shard04_msa_reuse_protenix25_seed111_115,protein_domain,unranked:run_not_rank_eligible,server_attack,5,protenix_confidence_v1,0.000000,71,0,71,0,0,0,
,server_v2_attack_scoreable_size_balanced_shard04_msa_reuse_protenix25_seed116_120,protein_domain,unranked:run_not_rank_eligible,server_attack,5,protenix_confidence_v1,0.000000,71,0,71,0,0,0,
,server_v2_attack_scoreable_size_balanced_shard04_msa_reuse_protenix25_seed121_125,protein_domain,unranked:run_not_rank_eligible,server_attack,5,protenix_confidence_v1,0.000000,71,0,71,0,0,0,
,server_v2_attack_scoreable_size_balanced_shard05_msa_reuse_protenix25_seed106_110,protein_domain,unranked:run_not_rank_eligible,server_attack,5,protenix_confidence_v1,0.000000,71,0,71,0,0,0,
,server_v2_attack_scoreable_size_balanced_shard05_msa_reuse_protenix25_seed111_115,protein_domain,unranked:run_not_rank_eligible,server_attack,5,protenix_confidence_v1,0.000000,71,0,71,0,0,0,
,server_v2_attack_scoreable_size_balanced_shard05_msa_reuse_protenix25_seed116_120,protein_domain,unranked:run_not_rank_eligible,server_attack,5,protenix_confidence_v1,0.000000,71,0,71,0,0,0,
,server_v2_attack_scoreable_size_balanced_shard05_msa_reuse_protenix25_seed121_125,protein_domain,unranked:run_not_rank_eligible,server_attack,5,protenix_confidence_v1,0.000000,71,0,71,0,0,0,
,server_v2_attack_scoreable_size_balanced_shard06_msa_reuse_protenix25_seed106_110,protein_domain,unranked:run_not_rank_eligible,server_attack,5,protenix_confidence_v1,0.000000,71,0,71,0,0,0,
,server_v2_attack_scoreable_size_balanced_shard06_msa_reuse_protenix25_seed111_115,protein_domain,unranked:run_not_rank_eligible,server_attack,5,protenix_confidence_v1,0.000000,71,0,71,0,0,0,
,server_v2_attack_scoreable_size_balanced_shard06_msa_reuse_protenix25_seed116_120,protein_domain,unranked:run_not_rank_eligible,server_attack,5,protenix_confidence_v1,0.000000,71,0,71,0,0,0,
,server_v2_attack_scoreable_size_balanced_shard06_msa_reuse_protenix25_seed121_125,protein_domain,unranked:run_not_rank_eligible,server_attack,5,protenix_confidence_v1,0.000000,71,0,71,0,0,0,
,server_v2_domain_sequence_recovery_oligo_nofail_msa_reuse_after_warmup_seed101,protein_domain,pending:no_scored_targets,dev_fixed,1,first_output_only,0.000000,71,0,71,0,0,0,
